"Rank","Gene"
1,"HSPA1A"
2,"TRBV7-2"
3,"CCL4"
4,"TRBV4-1"
5,"CXCR4"
6,"GNLY"
7,"TRBV12-5"
8,"CCL2"
9,"TRBV4-2"
10,"CGA"
11,"TRBV5-1"
12,"TRBV10-3"
13,"TRBV7-9"
14,"TRBV12-3"
15,"TRBV20-1"
16,"TRBV3-1"
17,"FOS"
18,"TRBV10-2"
19,"TRBV13"
20,"CREM"
21,"TRBV11-2"
22,"TRBV7-3"
23,"TRBV12-4"
24,"TRBV9"
25,"TRBV29-1"
26,"TRBV6-6"
27,"TRBV11-1"
28,"HSPA1B"
29,"TRBV7-6"
30,"TRBV28"
31,"TRBV16"
32,"TRBV6-5"
33,"IL17A"
34,"TRBV6-7"
35,"TRBV14"
36,"TRBV24-1"
37,"TRBV6-1"
38,"TRBV6-2"
39,"TRBV2"
40,"TRBV30"
41,"TRBV5-5"
42,"ZFP36"
43,"TRBV27"
44,"TRBV5-4"
45,"TRBV19"
46,"HSPA6"
47,"RGCC"
48,"TRAV38-2DV8"
49,"TRBV15"
50,"ANXA1"
51,"TRBV25-1"
52,"TRDV2"
53,"TRBV5-6"
54,"DUSP2"
55,"CCL4L2"
56,"JUNB"
57,"TRAV21"
58,"CRIP1"
59,"TRBV18"
60,"DNAJB1"
61,"GZMK"
62,"ORM1"
63,"KLRB1"
64,"TRBV10-1"
65,"TRAV12-2"
66,"DUSP1"
67,"TRAV20"
68,"DHRS9"
69,"TRBV12-2"
70,"IL7R"
71,"XCL1"
72,"JUN"
73,"CD8A"
74,"NR4A2"
75,"TPSAB1"
76,"VIM"
77,"TPSB2"
78,"IGLV10-54"
79,"TUBA4A"
80,"TRAV29DV5"
81,"NEGR1"
82,"TRAV3"
83,"IL3"
84,"IGHV2-26"
85,"ZFP36L2"
86,"TRDV1"
87,"GZMH"
88,"TRAV17"
89,"TRAV30"
90,"TRAV14DV4"
91,"TRAV12-3"
92,"RHEX"
93,"CD52"
94,"TRAV19"
95,"TRBV6-8"
96,"MYADM"
97,"TYROBP"
98,"GZMB"
99,"CXCL10"
100,"TNFAIP3"
101,"CD177"
102,"TRAV1-1"
103,"TSC22D3"
104,"TRAV8-4"
105,"FOSB"
106,"TRAV10"
107,"CCL20"
108,"TRBV7-7"
109,"GLT8D2"
110,"TRAV38-1"
111,"TRAV12-1"
112,"RGS1"
113,"S100A4"
114,"TRAV13-1"
115,"AC107241.1"
116,"IFITM2"
117,"CD69"
118,"NUDT12"
119,"CPA3"
120,"LINC00494"
121,"TRDV3"
122,"TRBV6-4"
123,"PPP1R2C"
124,"KLF2"
125,"TRAV5"
126,"AC114730.3"
127,"IL22"
128,"XCL2"
129,"CCDC110"
130,"LMNA"
131,"KLF6"
132,"TRAV13-2"
133,"TRBV7-5"
134,"PMCH"
135,"ZNF331"
136,"FOXP3"
137,"TRGV9"
138,"DUSP4"
139,"ITGA8"
140,"EZR"
141,"TRAV26-2"
142,"RBPMS2"
143,"TRAV23DV6"
144,"TRBV11-3"
