"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.02427226899064e-245,2.03030957628647,1,0.757,2.20661505521359e-240,"0","S100A8"
8.48823149349737e-201,0.873771948043015,1,0.99,2.07554236478998e-196,"0","S100A6"
1.5447827133323e-187,1.3198942095727,0.977,0.814,3.77730269064015e-183,"0","FOS"
2.96200645208307e-184,1.6665663130173,0.928,0.766,7.24269817663351e-180,"0","CSTA"
8.31603373390242e-184,0.741872902958468,0.998,0.987,2.03343656861382e-179,"0","FAU"
2.30503519188201e-180,1.84737510684207,0.896,0.384,5.63627205118989e-176,"0","S100A12"
7.63294496558616e-176,1.143466938855,1,0.951,1.86640770298513e-171,"0","LYZ"
1.60233457947746e-166,0.986846560708214,0.987,0.952,3.91802851373827e-162,"0","ATP5MC2"
6.63803155663178e-164,1.57758219167102,0.915,0.714,1.6231314762276e-159,"0","MNDA"
6.24884580642442e-147,0.837459726005128,0.994,0.975,1.5279677765869e-142,"0","GABARAP"
1.6562772469936e-143,1.60660702391449,0.86,0.572,4.04992912434875e-139,"0","TMEM176B"
6.3517979315516e-133,0.817791408990936,0.994,0.981,1.553141630223e-128,"0","GAPDH"
5.16658458959672e-131,2.05319790288547,0.743,0.379,1.26333326384819e-126,"0","TMEM176A"
4.0061415955521e-127,0.654757023128013,0.999,0.98,9.79581742944399e-123,"0","ATP5F1E"
4.59493747046496e-126,0.580932196450311,1,0.99,1.12355411027809e-121,"0","TYROBP"
7.54403551897095e-122,1.25173466183536,0.907,0.539,1.84466756509878e-117,"0","VCAN"
5.86070290998059e-121,1.01082723683052,0.993,0.863,1.43305907554845e-116,"0","S100A9"
6.56176304632955e-113,0.89070717488243,0.958,0.943,1.6044823000885e-108,"0","TSPO"
2.5732747367118e-110,1.68894032905053,0.774,0.472,6.29217138620768e-106,"0","NCF1"
3.64172613190068e-107,1.40477083110123,0.846,0.668,8.90474873772355e-103,"0","CEBPD"
4.8627753131285e-105,0.478458324728098,1,0.992,1.18904581956618e-100,"0","TMSB10"
1.79884301501614e-96,1.25166136697219,0.821,0.717,4.39853094031746e-92,"0","NDUFB1"
