"Donor","GSM","Phase","Myeloid_Cluster","Cells","Total_Myeloid_Cells","Fraction_of_Donor_Myeloid","Percent_of_Donor_Myeloid"
"D528848","GSM5519484","NL","0",8,52,0.153846153846154,15.3846153846154
"D528848","GSM5519484","NL","1",40,52,0.769230769230769,76.9230769230769
"D528848","GSM5519484","NL","2",4,52,0.0769230769230769,7.69230769230769
"D529074","GSM5519485","NL","0",2,10,0.2,20
"D529074","GSM5519485","NL","1",8,10,0.8,80
"D529351","GSM5519486","NL","1",10,21,0.476190476190476,47.6190476190476
"D529351","GSM5519486","NL","2",11,21,0.523809523809524,52.3809523809524
"D529354","GSM5519487","NL","0",5,33,0.151515151515152,15.1515151515152
"D529354","GSM5519487","NL","1",23,33,0.696969696969697,69.6969696969697
"D529354","GSM5519487","NL","2",5,33,0.151515151515152,15.1515151515152
"D529409","GSM5519488","NL","0",4,44,0.0909090909090909,9.09090909090909
"D529409","GSM5519488","NL","1",35,44,0.795454545454545,79.5454545454545
"D529409","GSM5519488","NL","2",4,44,0.0909090909090909,9.09090909090909
"D529409","GSM5519488","NL","3",1,44,0.0227272727272727,2.27272727272727
"Dhc570","GSM5519483","NL","0",2,22,0.0909090909090909,9.09090909090909
"Dhc570","GSM5519483","NL","1",12,22,0.545454545454545,54.5454545454545
"Dhc570","GSM5519483","NL","2",7,22,0.318181818181818,31.8181818181818
"Dhc570","GSM5519483","NL","3",1,22,0.0454545454545455,4.54545454545455
"P190326","GSM5519471","IT","1",1,3,0.333333333333333,33.3333333333333
"P190326","GSM5519471","IT","2",2,3,0.666666666666667,66.6666666666667
"P190402","GSM5519472","IT","0",3,278,0.0107913669064748,1.07913669064748
"P190402","GSM5519472","IT","1",170,278,0.611510791366906,61.1510791366906
"P190402","GSM5519472","IT","2",103,278,0.370503597122302,37.0503597122302
"P190402","GSM5519472","IT","3",2,278,0.00719424460431655,0.719424460431655
"P190604","GSM5519469","IT","0",1,93,0.010752688172043,1.0752688172043
"P190604","GSM5519469","IT","1",49,93,0.526881720430108,52.6881720430108
"P190604","GSM5519469","IT","2",40,93,0.43010752688172,43.010752688172
"P190604","GSM5519469","IT","3",3,93,0.032258064516129,3.2258064516129
"P190716","GSM5519475","AR","0",2,24,0.0833333333333333,8.33333333333333
"P190716","GSM5519475","AR","1",9,24,0.375,37.5
"P190716","GSM5519475","AR","2",13,24,0.541666666666667,54.1666666666667
"P190719","GSM5519477","IA","0",1086,1413,0.768577494692144,76.8577494692144
"P190719","GSM5519477","IA","3",259,1413,0.183297947629158,18.3297947629158
"P190719","GSM5519477","IA","4",68,1413,0.0481245576786978,4.81245576786978
"P190801","GSM5519496","IA","1",1,5,0.2,20
"P190801","GSM5519496","IA","2",4,5,0.8,80
"P190808","GSM5519495","IT","0",3,74,0.0405405405405405,4.05405405405405
"P190808","GSM5519495","IT","1",48,74,0.648648648648649,64.8648648648649
"P190808","GSM5519495","IT","2",23,74,0.310810810810811,31.0810810810811
"P190902","GSM5519491","IT","2",1,1,1,100
"P190910","GSM5519494","IT","1",38,51,0.745098039215686,74.5098039215686
"P190910","GSM5519494","IT","2",13,51,0.254901960784314,25.4901960784314
"P190911","GSM5519497","IA","2",4,4,1,100
"P191008","GSM5519504","AR","0",1,1,1,100
"P191028","GSM5519499","IA","2",1,1,1,100
"P191112","GSM5519502","IA","0",2,75,0.0266666666666667,2.66666666666667
"P191112","GSM5519502","IA","1",47,75,0.626666666666667,62.6666666666667
"P191112","GSM5519502","IA","2",25,75,0.333333333333333,33.3333333333333
"P191112","GSM5519502","IA","3",1,75,0.0133333333333333,1.33333333333333
"P191126","GSM5519506","AC","0",1,45,0.0222222222222222,2.22222222222222
"P191126","GSM5519506","AC","1",26,45,0.577777777777778,57.7777777777778
"P191126","GSM5519506","AC","2",18,45,0.4,40
"P191127","GSM5519508","AC","0",2,95,0.0210526315789474,2.10526315789474
"P191127","GSM5519508","AC","1",54,95,0.568421052631579,56.8421052631579
"P191127","GSM5519508","AC","2",37,95,0.389473684210526,38.9473684210526
"P191127","GSM5519508","AC","3",2,95,0.0210526315789474,2.10526315789474
"P191210","GSM5519510","AC","0",26,42,0.619047619047619,61.9047619047619
"P191210","GSM5519510","AC","1",2,42,0.0476190476190476,4.76190476190476
"P191210","GSM5519510","AC","3",14,42,0.333333333333333,33.3333333333333
"P191217","GSM5519512","AR","0",5,102,0.0490196078431373,4.90196078431373
"P191217","GSM5519512","AR","1",76,102,0.745098039215686,74.5098039215686
"P191217","GSM5519512","AR","2",21,102,0.205882352941176,20.5882352941176
