"Donor","GSM","Phase","Myeloid_Cells"
"P191126","GSM5519506","AC",45
"P191127","GSM5519508","AC",95
"P191210","GSM5519510","AC",42
"P190716","GSM5519475","AR",24
"P191008","GSM5519504","AR",1
"P191217","GSM5519512","AR",102
"P190719","GSM5519477","IA",1413
"P190801","GSM5519496","IA",5
"P190911","GSM5519497","IA",4
"P191028","GSM5519499","IA",1
"P191112","GSM5519502","IA",75
"P190326","GSM5519471","IT",3
"P190402","GSM5519472","IT",278
"P190604","GSM5519469","IT",93
"P190808","GSM5519495","IT",74
"P190902","GSM5519491","IT",1
"P190910","GSM5519494","IT",51
"D528848","GSM5519484","NL",52
"D529074","GSM5519485","NL",10
"D529351","GSM5519486","NL",21
"D529354","GSM5519487","NL",33
"D529409","GSM5519488","NL",44
"Dhc570","GSM5519483","NL",22
