"Rank","Gene"
1,"S100A8"
2,"S100A9"
3,"IL1B"
4,"LYZ"
5,"S100A12"
6,"CCL4"
7,"TIMP1"
8,"G0S2"
9,"NFKBIA"
10,"FOS"
11,"SOD2"
12,"CRIP1"
13,"CXCL8"
14,"CXCL2"
15,"CCL20"
16,"VCAN"
17,"CCL3"
18,"THBS1"
19,"FCGR3A"
20,"HSPA1A"
21,"CXCL3"
22,"IFITM3"
23,"CCL4L2"
24,"LYPD2"
25,"SERPINB2"
26,"PPBP"
27,"HSPA1B"
28,"CXCL10"
29,"MT2A"
30,"PLAUR"
31,"IER3"
32,"CD52"
33,"HLA-DPA1"
34,"CXCL9"
35,"C1QB"
36,"MAFB"
37,"C5AR1"
38,"HSP90AA1"
39,"HLA-DPB1"
40,"CCL2"
41,"HLA-DRB5"
42,"APOE"
43,"C15orf48"
44,"TNF"
45,"NAMPT"
46,"NEAT1"
47,"EREG"
48,"MT-ATP8"
49,"TRBV6-4"
50,"CCL3L1"
51,"LGALS2"
52,"BCL2A1"
53,"NCF1"
54,"CD83"
55,"IFITM2"
56,"C1QA"
57,"IGKV2-30"
58,"IGLV2-23"
59,"ZAP70"
60,"SAT1"
61,"IL1A"
62,"BTG1"
63,"LINC02217"
64,"MS4A7"
65,"CCL7"
66,"AL662884.4"
67,"UBC"
68,"PHLDA1"
69,"GP9"
70,"MIR155HG"
71,"FAM153A"
72,"JAM3"
73,"VMO1"
74,"PPP1R26-AS1"
75,"HLA-DQA1"
76,"TRAV8-2"
77,"IGLV3-19"
78,"CCNB2"
79,"PF4"
80,"C1QC"
81,"PPP1R15A"
82,"MT-ND4L"
83,"AREG"
84,"TNFAIP3"
85,"CD14"
86,"CEBPD"
87,"IFITM1"
88,"IL1RN"
89,"HLA-DRA"
90,"CSF3"
91,"TNFAIP6"
92,"TAGLN2"
93,"NR5A2"
94,"IFI27"
95,"LMNA"
96,"TMEM176B"
97,"AC090198.1"
98,"AL121992.2"
99,"TXNIP"
100,"MYL9"
101,"LINC01176"
102,"APOC1"
103,"HBA2"
104,"ZFP36"
105,"LINC00853"
106,"CCR7"
107,"FABP4"
108,"HSPA8"
109,"CXCL1"
110,"FAM161A"
111,"CXCL5"
112,"C9orf116"
113,"AL049634.2"
114,"DUSP2"
115,"HLA-DRB1"
116,"AC110048.2"
117,"PTX3"
118,"CMTM5"
119,"ANXA1"
120,"DRC1"
121,"TRH"
122,"EMILIN1"
123,"CD55"
124,"IGLV2-14"
125,"KRT36"
126,"AC093827.5"
127,"WFDC3"
128,"RAB23"
129,"FOSB"
130,"PPIF"
131,"KLF2"
132,"RGCC"
133,"FCER1A"
134,"CDKN1A"
135,"DGCR6"
136,"SMIM25"
137,"AL359397.2"
138,"C17orf113"
139,"EGR1"
140,"IGLV3-10"
141,"ATAD3C"
142,"AC012236.1"
143,"AC091132.5"
144,"AL021368.2"
145,"SDS"
146,"DOCK9"
147,"DNAJB1"
148,"HSP90AB1"
149,"PNRC1"
150,"SQSTM1"
151,"AL157955.1"
152,"AL731557.1"
153,"Z98752.4"
154,"WARS"
155,"ANKRD24"
156,"MEF2B"
157,"AC239800.3"
158,"CYP1B1"
159,"JUN"
160,"LINC00462"
161,"TMEM176A"
162,"CAV2"
163,"SLC6A16"
164,"MAFA"
165,"AL954642.1"
166,"IGLV3-1"
167,"MNDA"
168,"ALOX5AP"
169,"CASC11"
170,"SLAIN1"
171,"IGKV1-39"
172,"NFKBIZ"
173,"AC099811.3"
174,"PROK2"
175,"AL162632.1"
176,"CSTA"
177,"ZNF625-ZNF20"
178,"AC015727.1"
179,"SAMSN1"
180,"TMOD1"
181,"TFPI2"
182,"COLQ"
183,"IGHA2"
184,"GPR183"
185,"IGKV3-15"
186,"CLU"
187,"AC090527.2"
188,"GNG11"
189,"MYH7B"
190,"AC060766.6"
191,"MS4A6A"
192,"TMEM40"
193,"NEURL3"
194,"IGHV4-59"
195,"RBP4"
196,"AL035563.1"
197,"AC021028.1"
198,"LHX4"
199,"RGS2"
200,"TCTEX1D4"
201,"TREML1"
202,"AC008878.3"
203,"PAPSS2"
204,"AL049597.2"
205,"CLEC18A"
206,"ASIC3"
207,"SPRY3"
208,"ZFP92"
209,"NT5M"
210,"AC072022.1"
211,"KRTCAP3"
212,"AC232271.1"
213,"LRRC61"
214,"MYLK"
215,"APOBEC3A"
216,"IGKV3-11"
217,"SPP1"
218,"ANGPTL4"
219,"S100A5"
220,"FOXD2-AS1"
221,"OIP5"
222,"KRT17"
223,"AL031123.2"
224,"HES4"
225,"AL117339.4"
226,"CAVIN2"
227,"NR4A1"
228,"SH3RF3"
229,"ATP2B1"
230,"TSPAN13"
231,"SLC5A9"
232,"MAMSTR"
233,"AC137630.3"
234,"MMP19"
235,"HORMAD1"
236,"AC026367.3"
237,"IER2"
238,"ACSS3"
239,"IGHV1-2"
240,"INSIG1"
241,"PRRG1"
242,"ENKUR"
243,"HLA-DQB1"
244,"CRHBP"
245,"HSPA6"
246,"EZR"
247,"AC239799.2"
248,"CHRNA7"
249,"STXBP2"
250,"BASP1"
251,"CMTM2"
252,"AC106707.1"
253,"CBARP"
254,"AC120053.1"
255,"THRIL"
256,"LINC00843"
257,"SYT1"
258,"LY6E"
259,"CHMP1B"
260,"AC055822.1"
261,"RIBC1"
262,"HHAT"
263,"OLR1"
264,"KLF6"
265,"AHNAK"
266,"PPP1R17"
267,"IQCH"
268,"TPBG"
269,"MPIG6B"
270,"SOD2-OT1"
271,"MEIS1"
272,"RRAD"
273,"PSD"
274,"RHOC"
275,"ANKRD34B"
276,"IGHV1-18"
277,"PF4V1"
278,"LITAF"
279,"TRBV9"
280,"PTCRA"
281,"CTAG2"
282,"SCRG1"
283,"FUT8-AS1"
284,"AC018638.7"
285,"BACE1-AS"
286,"HCN3"
287,"AL358472.5"
288,"AC138356.1"
289,"AC084082.1"
290,"AC025171.4"
291,"LINC02580"
292,"TREX2"
293,"TPM2"
294,"CREM"
295,"GJB2"
296,"C2orf88"
297,"AC006157.1"
298,"ADAMTS10"
299,"ATP2A1-AS1"
300,"FCN3"
301,"AC108718.1"
302,"EFEMP2"
303,"IGKV1-12"
304,"KCNJ14"
305,"SELP"
306,"LST1"
307,"IGKV1-27"
308,"KLRD1"
309,"ACKR3"
310,"AC005392.2"
311,"NR4A2"
312,"PANX2"
313,"ZFP36L1"
314,"KRT8"
315,"CSF2"
316,"SLAMF1"
317,"KIF2C"
318,"HMOX1"
319,"AC004908.3"
320,"BHLHB9"
321,"ELANE"
322,"HAS1"
323,"CTSL"
324,"DNAJA1"
325,"C1QTNF12"
326,"AC004253.1"
327,"AL133485.1"
328,"TIGD4"
329,"SPIN2A"
330,"KATNAL2"
331,"C1orf220"
332,"NPW"
333,"IGLV2-11"
334,"LRRC6"
335,"PLEK"
336,"RBP7"
337,"AP001189.1"
338,"AC005740.4"
339,"PLAC8"
340,"LINC00996"
341,"MS4A1"
342,"FCN1"
343,"ICAM1"
344,"TRAV1-2"
345,"CPT1B"
346,"SERPINB1"
347,"AC091564.6"
348,"TUBB1"
349,"GATA3"
350,"ITGB3"
351,"THBD"
352,"AC012368.2"
353,"FHL1"
354,"SAG"
355,"KL"
356,"AL355297.4"
357,"P2RX5"
358,"SAXO1"
359,"AC092171.4"
360,"ZFP36L2"
361,"MAPK10"
362,"PNOC"
363,"AC114730.1"
364,"FOLR3"
365,"LGALSL"
366,"IGHV1-3"
367,"AC009948.4"
368,"ZEB2"
369,"MSRB3"
370,"KANK2"
371,"AP001043.1"
372,"TRBV20-1"
373,"MS4A3"
374,"CTSC"
375,"AL591468.1"
376,"HIST1H2BJ"
377,"TSTD3"
378,"MYB"
379,"RNASE1"
380,"IGKV4-1"
381,"IGHV1-46"
382,"DLX4"
383,"ZNF501"
384,"IL23A"
385,"TRAF1"
386,"AC022706.1"
387,"CFAP161"
388,"PARD6B"
389,"CCL8"
390,"PLLP"
391,"AC091564.2"
392,"LINC02084"
393,"OMG"
394,"HBG2"
395,"SGK1"
396,"CCIN"
397,"PAN3-AS1"
398,"HSPH1"
399,"RAB27B"
400,"CCL23"
401,"TRAV26-1"
402,"LAMC1"
403,"CYTL1"
404,"AC107464.3"
405,"AC010883.1"
406,"AC008906.1"
407,"IGLV1-51"
408,"AC015819.1"
409,"ENO2"
410,"AC008753.3"
411,"AC006942.1"
412,"FKBP6"
413,"RAB36"
414,"CCL14"
415,"TUBA1A"
416,"AL391244.3"
417,"IL23R"
418,"VXN"
419,"LYG1"
420,"AC007876.1"
421,"FN1"
422,"AC008750.8"
423,"ADAMTS2"
424,"C11orf96"
425,"PDZK1IP1"
426,"IL11RA"
427,"CLEC1B"
428,"NOS1AP"
429,"LINC02363"
430,"DUSP1"
431,"AC067838.1"
432,"RASD2"
433,"LY6G5B"
434,"COBLL1"
435,"IGLV1-44"
436,"SORCS2"
437,"TRAPPC3L"
438,"MCL1"
439,"DNASE1L2"
440,"AFF2"
441,"IGHV3-23"
442,"AL136295.2"
443,"TNFAIP2"
444,"HP"
445,"CASC8"
446,"TPTEP2-CSNK1E"
447,"SLC8A2"
448,"PRICKLE1"
449,"AL160006.1"
450,"ARRDC5"
451,"IGHA1"
452,"CFD"
453,"MSH5-SAPCD1"
454,"AC008280.3"
455,"LINC02218"
456,"C9orf163"
457,"ACOD1"
458,"AC084026.1"
459,"MISP3"
460,"DMTN"
461,"LINC00852"
462,"AC093827.4"
463,"AP000808.1"
464,"AC005154.6"
465,"LGR4"
466,"AC011337.1"
467,"AC092115.3"
468,"GADD45B"
469,"PPP1R14A"
470,"AC027682.6"
471,"MTX3"
472,"PCP2"
473,"CLEC3B"
474,"IFIT1"
475,"FGF14-AS2"
476,"TYMS"
477,"LINC02422"
478,"FABP5"
479,"AC022395.1"
480,"TSPAN2"
481,"AC239868.3"
482,"C1orf74"
483,"LRFN1"
484,"PTGS2"
485,"ISPD"
486,"ALOX12"
487,"ACTR3C"
488,"CLEC18B"
489,"PLEKHA7"
490,"DLEU7"
491,"ANXA5"
492,"TBXA2R"
493,"CCR10"
494,"GPSM2"
495,"TRBV28"
496,"CLEC1A"
497,"LINC00671"
498,"IGLV3-21"
499,"LURAP1"
500,"LINC02257"
501,"DUSP6"
502,"AC245060.5"
503,"DUSP19"
504,"AC108673.2"
505,"PPP1R26"
506,"CTSB"
507,"MORN1"
508,"BMPR1A"
509,"ANO5"
510,"AC008622.2"
511,"AL109811.1"
512,"AC110285.6"
513,"CCR6"
514,"STEAP4"
515,"AL133245.1"
516,"AP000977.1"
517,"EPN2"
518,"ZNF460-AS1"
519,"ANXA3"
520,"AC010976.1"
521,"YY2"
522,"RTCA-AS1"
523,"HLA-DOB"
524,"SAMSN1-AS1"
525,"FP236383.3"
526,"IGLV3-25"
527,"CXCR4"
528,"AC132938.3"
529,"SNX25"
530,"CD36"
531,"ISG15"
532,"GVQW3"
533,"RHOB"
534,"SYTL5"
535,"RNF112"
536,"VIPR1-AS1"
537,"ARHGEF33"
538,"PRR34"
539,"ZHX1-C8orf76"
540,"AC060766.4"
541,"CSF3R"
542,"AL391832.2"
543,"IGHV5-10-1"
544,"AC002464.1"
545,"HLA-DMA"
546,"CD44"
547,"LINC00624"
548,"AC087752.4"
549,"MYADM"
550,"ADGRF5"
551,"AC114760.2"
552,"SMAD6"
553,"AL138963.1"
554,"IGHEP2"
555,"AC096586.1"
556,"IFI44L"
557,"AC093673.1"
558,"CLTCL1"
559,"AC147651.1"
560,"AC109587.1"
561,"PVALB"
562,"LINC00989"
563,"IQUB"
564,"HIST1H1E"
565,"AC011676.1"
566,"OSM"
567,"CDKN1C"
568,"PRKAR2B"
569,"AL365330.1"
570,"ADNP-AS1"
571,"RASIP1"
572,"SPX"
573,"AC027575.2"
574,"AL353622.1"
575,"LY6G6F"
576,"KIF23"
577,"AC015813.2"
578,"ANGPTL6"
579,"AP001160.2"
580,"AC243960.1"
581,"CCL5"
582,"SEMA6C"
583,"AL121761.2"
584,"ZDHHC14"
585,"TMEM121B"
586,"RNF32"
587,"MIAT"
588,"KIF24"
589,"MEG3"
590,"PLXNB1"
591,"AL161431.1"
592,"HCST"
593,"BRICD5"
594,"AC240565.1"
595,"HCG20"
596,"MAP1LC3B2"
597,"IFI6"
598,"NTNG2"
599,"BCL2L15"
600,"AC093157.1"
601,"ZNF782"
602,"LINC01715"
603,"TRMT9B"
604,"LINC02361"
605,"AC068620.1"
606,"RHOBTB1"
607,"MARCKS"
608,"PIP5KL1"
609,"TWIST2"
610,"TTC23"
611,"SPARC"
612,"FAM72D"
613,"AC136604.3"
614,"ITGA2B"
615,"CD68"
616,"AL391335.1"
617,"AC112220.4"
618,"AC064807.1"
619,"LINC02446"
620,"CD99"
621,"OTOF"
622,"PDE4B"
623,"MFAP3L"
624,"NTN4"
625,"GIMAP7"
626,"CABP5"
627,"EMP3"
628,"AC022021.1"
629,"NFE2"
630,"AC027307.2"
631,"GRIN2C"
632,"IGLV4-69"
633,"BOLA3-AS1"
634,"AC104806.2"
635,"AC090844.2"
636,"ZBED6CL"
637,"AC004846.2"
638,"CLEC10A"
639,"AC124045.1"
640,"LINC01303"
641,"MT1E"
642,"OCLN"
643,"AC108134.2"
644,"IGKV1-16"
645,"AC097634.3"
646,"TRPV1"
647,"LILRB2"
648,"MPZL3"
649,"AC100830.3"
650,"B4GAT1"
651,"NRTN"
652,"CD163"
653,"C9orf47"
654,"SAP30L-AS1"
655,"S100A10"
656,"C19orf73"
657,"SLC40A1"
658,"RBM44"
659,"IGKV1-9"
660,"FZD2"
661,"LTB4R"
662,"GRAPL"
663,"IGLV1-47"
664,"LINC00656"
665,"LIMS1"
666,"CCR2"
667,"LINC01063"
668,"PSME2"
669,"BIRC3"
670,"AL139393.2"
671,"FP236383.1"
672,"NR1I3"
673,"SGIP1"
674,"RSAD2"
675,"EDN1"
676,"LPP-AS2"
677,"NAGPA-AS1"
678,"TNFSF15"
679,"SATB2"
680,"AURKB"
681,"ATP2B1-AS1"
682,"GP1BA"
683,"KDM6B"
684,"LYN"
685,"AC093788.1"
686,"CEBPB"
687,"IL20RB"
688,"ASB9"
689,"AC090409.1"
690,"CU633967.1"
691,"AQP9"
692,"MT-ND5"
693,"ZBTB42"
694,"GRAP"
695,"MGAM"
696,"LIMCH1"
697,"AC134669.1"
698,"AL355388.2"
699,"AC003991.1"
700,"AP1M2"
701,"GLUL"
702,"DACH1"
703,"AC233723.1"
704,"MT1X"
705,"ECT2"
706,"TSC22D3"
707,"RBFOX1"
708,"RBM14-RBM4"
709,"CDKL1"
710,"AC019254.1"
711,"LIPT2"
712,"IGHG2"
713,"CD9"
714,"ANO7"
715,"CRIM1"
716,"JUNB"
717,"TNNT1"
718,"ADAM19"
719,"CTRL"
720,"A2M-AS1"
721,"AL844908.1"
722,"ZNF777"
723,"SLC2A3"
724,"TSHZ3"
725,"MAP3K7CL"
726,"LTBP1"
727,"ITGA1"
728,"CXCL11"
729,"CALM2"
730,"MDK"
731,"DCHS1"
732,"NPIPB11"
733,"HIST1H3H"
734,"Z98200.1"
735,"ADAMTS5"
736,"AL031670.1"
737,"AURKC"
738,"AC002310.1"
739,"AL031316.1"
740,"WDR92"
741,"MANSC1"
742,"HOMER3"
743,"MX1"
744,"SELENOP"
745,"CES1"
746,"PADI6"
747,"AC090587.1"
748,"LILRA5"
749,"LINC02569"
750,"PYROXD2"
751,"GNLY"
752,"CENPO"
753,"SLC12A8"
754,"LY6G5C"
755,"SNORC"
756,"SMIM1"
757,"AC125611.3"
758,"MIR646HG"
759,"MEGF6"
760,"UPK3BL1"
761,"ARRDC4"
762,"CPAMD8"
763,"MARC1"
764,"AC006064.2"
765,"AC011043.1"
766,"ABCC11"
767,"MYOSLID"
768,"GPR160"
769,"TMEM144"
770,"AC046143.1"
771,"AC010889.1"
772,"ARMC12"
773,"AKR7A3"
774,"SOX4"
775,"CEBPE"
776,"CD79A"
777,"H1FX"
778,"CXCR3"
779,"SCML4"
780,"FP671120.3"
781,"HLX"
782,"AC097504.2"
783,"IGSF3"
784,"C6orf201"
785,"MLNR"
786,"RBKS"
787,"FBXL18"
788,"AL731566.2"
789,"TTC21A"
790,"GOLGA6L4"
791,"TRIM6"
792,"GDPD3"
793,"AC025423.4"
794,"COL9A3"
795,"C20orf197"
796,"ESAM"
797,"WFS1"
798,"AC138028.2"
799,"ADPRHL1"
800,"TUBA1B"
801,"RDH10"
802,"AC005082.1"
803,"AC005070.3"
804,"L3MBTL4"
805,"ZFP57"
806,"PRSS27"
807,"AC008264.2"
808,"EFCAB7"
809,"AC009005.1"
810,"FP236383.2"
811,"SLC16A5"
812,"SMIM11A"
813,"ALDH1A1"
814,"CCRL2"
815,"RAVER2"
816,"AL591848.4"
817,"NRSN2"
818,"AL158163.2"
819,"FGFBP2"
820,"TMEM86B"
821,"MUC20"
822,"AL033527.2"
823,"AL354719.2"
824,"PAQR6"
825,"NME8"
826,"CSTB"
827,"ST20"
828,"ZNF554"
829,"IFI44"
830,"MBOAT2"
831,"SIGLEC1"
832,"AC007448.3"
833,"HPD"
834,"CAPN3"
835,"STX16-NPEPL1"
836,"FAM13A"
837,"ZNF396"
838,"ZNF514"
839,"TNFRSF1B"
840,"ZNF426-DT"
