"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.16336209730489e-41,3.43561856639491,0.208,0.039,5.28985300032992e-37,"0","CCR2"
2.20263173794113e-41,2.49993400136006,0.263,0.073,5.38587512561366e-37,"0","NFE2"
6.89146401890724e-24,2.08646382264263,0.244,0.107,1.6851007819032e-19,"0","CD1D"
5.16658458959672e-131,2.05319790288547,0.743,0.379,1.26333326384819e-126,"0","TMEM176A"
3.45703381053237e-10,2.04000227285097,0.13,0.062,8.45313907351375e-06,"0","CATSPER1"
9.02427226899064e-245,2.03030957628647,1,0.757,2.20661505521359e-240,"0","S100A8"
3.36679604563633e-10,2.02173458399638,0.129,0.061,8.23248969078995e-06,"0","HOMER3"
1.88636377231141e-22,2.00620546044173,0.23,0.098,4.61253669605585e-18,"0","ALOX5AP"
1.04154169118947e-40,1.8745018817659,0.446,0.254,2.5467777432965e-36,"0","RBP7"
2.43274307010659e-31,1.8664237851851,0.391,0.238,5.94854335502462e-27,"0","FAM200B"
2.30503519188201e-180,1.84737510684207,0.896,0.384,5.63627205118989e-176,"0","S100A12"
2.20838013142409e-13,1.84108429054705,0.212,0.12,5.39993109735819e-09,"0","ZNF467"
1.67437391366667e-45,1.84107987682604,0.453,0.245,4.09417909369773e-41,"0","RNASE6"
8.36570972782014e-16,1.83808739831623,0.215,0.111,2.04558334264658e-11,"0","IFI44"
1.65127771487596e-07,1.81790461514955,0.147,0.089,0.00403770426841469,"0","LINC01506"
2.63781160391658e-18,1.81134265230487,0.272,0.157,6.44997693389683e-14,"0","MEGF9"
2.05096432831621e-06,1.80097488025319,0.12,0.07,0.050150179755988,"0","LTB4R"
2.0539456670516e-08,1.78759563718664,0.113,0.055,0.000502230794507457,"0","CRISPLD2"
3.38058577875609e-07,1.76115819949689,0.116,0.063,0.00826620834621438,"0","MT1F"
6.50857521350971e-12,1.74598792314798,0.199,0.114,1.59147681120739e-07,"0","ALDH1A1"
1.89839792687664e-130,6.81360875137746,0.308,0.003,4.64196261079875e-126,"1","SEMA6B"
3.65239834461355e-55,6.36686788362202,0.14,0.003,8.93084443224905e-51,"1","MMP19"
1.20052669778011e-251,6.10052061182453,0.616,0.028,2.93552788141193e-247,"1","PHLDA1"
2.8828955866816e-96,6.0000574647876,0.279,0.016,7.04925628855385e-92,"1","SERPINB2"
9.6411992705003e-75,5.74448210292994,0.196,0.005,2.35746604562273e-70,"1","MIR155HG"
1.3715893869076e-85,5.55385174628008,0.22,0.005,3.35381036886646e-81,"1","SDC4"
1.52372834059682e-192,5.50782732667973,0.552,0.046,3.72582053842734e-188,"1","THBS1"
1.09658901153005e-79,5.33859484302353,0.236,0.014,2.68137945099329e-75,"1","IL1A"
5.70791280925753e-43,5.18515521152368,0.114,0.003,1.39569884011965e-38,"1","LYPD3"
1.99185127346896e-101,4.97898027451277,0.31,0.022,4.87047473388631e-97,"1","TRAF1"
7.38037155925055e-54,4.87475128804577,0.148,0.005,1.80464845366794e-49,"1","LONRF3"
2.79009731381997e-65,4.86361091891463,0.186,0.009,6.8223459517526e-61,"1","MIR222HG"
1.78657259664212e-98,4.79433963612971,0.276,0.013,4.36852731330931e-94,"1","IRAK2"
