GSM,Donor,Phase,Cells,Doublets,Doublet_Rate,Median_Doublet_Score
GSM5519484,D528848,NL,4733,201,4.25,1.6603973926976323e-4
GSM5519483,Dhc570,NL,4243,169,3.98,3.754409262910485e-4
GSM5519504,P191008,AR,10164,326,3.21,6.198227856657468e-5
GSM5519497,P190911,IA,9082,232,2.55,5.021923971071374e-5
GSM5519491,P190902,IT,66,1,1.52,0.5497966913439637
GSM5519499,P191028,IA,8062,119,1.48,1.838488969951868e-4
GSM5519472,P190402,IT,7110,101,1.42,9.484776455792598e-5
GSM5519496,P190801,IA,6069,60,0.99,3.680848385556601e-5
GSM5519485,D529074,NL,5956,55,0.92,1.418516258127056e-4
GSM5519502,P191112,IA,6070,56,0.92,9.132662671618164e-5
GSM5519508,P191127,AC,6625,49,0.74,8.814534521661699e-5
GSM5519477,P190719,IA,3006,17,0.57,4.988845903426409e-4
GSM5519494,P190910,IT,2693,15,0.56,1.9600371888373047e-4
GSM5519495,P190808,IT,5168,16,0.31,7.307654595933855e-5
GSM5519512,P191217,AR,4122,9,0.22,1.5065867773955688e-4
GSM5519506,P191126,AC,3293,6,0.18,1.1687610094668344e-4
GSM5519471,P190326,IT,1379,2,0.15,8.202259195968509e-4
GSM5519486,D529351,NL,690,1,0.14,0.006298037711530924
GSM5519488,D529409,NL,3364,4,0.12,0.0022807440254837275
GSM5519469,P190604,IT,3085,2,0.06,4.071638104505837e-4
GSM5519475,P190716,AR,3460,2,0.06,3.712704055942595e-4
GSM5519510,P191210,AC,2919,1,0.03,4.45369107183069e-4
GSM5519487,D529354,NL,5233,1,0.02,1.6254984075203538e-4
