GSM,Donor,Phase,Before,After,Lost,Pct_Retained
GSM5519469,P190604,IT,3085,3085,0,100
GSM5519471,P190326,IT,1379,1379,0,100
GSM5519472,P190402,IT,7110,7110,0,100
GSM5519475,P190716,AR,3460,3460,0,100
GSM5519477,P190719,IA,3006,3006,0,100
GSM5519483,Dhc570,NL,4243,4243,0,100
GSM5519484,D528848,NL,4733,4733,0,100
GSM5519485,D529074,NL,5956,5956,0,100
GSM5519486,D529351,NL,690,690,0,100
GSM5519487,D529354,NL,5233,5233,0,100
GSM5519488,D529409,NL,3364,3364,0,100
GSM5519491,P190902,IT,66,66,0,100
GSM5519494,P190910,IT,2693,2693,0,100
GSM5519495,P190808,IT,5168,5168,0,100
GSM5519496,P190801,IA,6069,6069,0,100
GSM5519497,P190911,IA,9082,9082,0,100
GSM5519499,P191028,IA,8062,8062,0,100
GSM5519502,P191112,IA,6070,6070,0,100
GSM5519504,P191008,AR,10164,10164,0,100
GSM5519506,P191126,AC,3293,3293,0,100
GSM5519508,P191127,AC,6625,6625,0,100
GSM5519510,P191210,AC,2919,2919,0,100
GSM5519512,P191217,AR,4122,4122,0,100
