GSM,Donor,Phase,Cells,Median_Genes,Mean_Genes,Median_UMIs,Mean_UMIs,Median_MT,Mean_MT,Median_RNA_Complexity,Pct_MT_Above_20,Pct_Below_200_Genes,Pct_Above_6000_Genes
GSM5519506,P191126,AC,3293,1426,1437.426966292135,2509.879019021988,2482.08807342059,1.7378756208320796,1.747592311721276,0.5663366301933258,0,0,0
GSM5519508,P191127,AC,6625,1422,1448.8472452830188,2556.1805632114415,2530.977908504891,1.5317888096629084,1.548438341714441,0.5555267967725246,0,0,0
GSM5519510,P191210,AC,2919,825,892.1421719767044,1936.2951707839966,1978.048720510039,2.1025440694095465,2.145263791310893,0.42580082115042023,0,0,0
GSM5519475,P190716,AR,3460,1090,1104.2705202312138,2227.8546864986415,2215.5512496159085,1.8772249516862258,1.9097400156431783,0.4888848599022824,0,0,0
GSM5519504,P191008,AR,10164,1008,1058.0060015741833,2156.8872796297073,2173.0714458912225,1.944133589783998,1.9761834376268328,0.4666306803342701,0,0,0
GSM5519512,P191217,AR,4122,1338,1368.3136826783116,2451.12340438366,2426.7462247601707,1.662720284640709,1.7013747749903727,0.5454846612429305,0,0,0
GSM5519477,P190719,IA,3006,920,1025.9238190286094,1983.8632323741913,2031.1174326149608,1.9920509778924629,2.0272865238936366,0.46222860700152957,0,0,0
GSM5519496,P190801,IA,6069,1276,1318.2815949909375,2389.8941411972046,2392.2526523204037,2.020933763757602,2.027332076409639,0.5331336295498218,0,0,0
GSM5519497,P190911,IA,9082,1307,1352.394846950011,2455.1694289445877,2463.0021392429776,1.7678377851018319,1.7988806425140726,0.5322510286521662,0,0,0
GSM5519499,P191028,IA,8062,684,744.696725378318,1751.5435423851013,1822.434836976524,2.052846949386961,2.0131463531860145,0.39032831942388113,0,0,0
GSM5519502,P191112,IA,6070,1430,1450.8433278418452,2554.957207620144,2535.929368317427,1.6164953797712938,1.6449893814430772,0.5574999266776971,0,0,0
GSM5519469,P190604,IT,3085,1277,1364.6155591572124,2354.33347249031,2358.4966733672727,1.9716466737826615,2.0082670827918427,0.542030160371997,0,0,0
GSM5519471,P190326,IT,1379,841,1154.7070340826685,1937.7506082057955,2126.459728609768,1.9275192718110172,1.9633123409917235,0.4348070464756007,0,0,0
GSM5519472,P190402,IT,7110,1464,1540.399718706048,2559.979087948799,2538.5381141876746,1.6380521393053415,1.6858048483377688,0.5704761376658558,0,0,0
GSM5519491,P190902,IT,66,558,573.1060606060606,1472.2034746408463,1484.6485208110375,2.7813881517902503,2.76277564965596,0.3817404085761524,0,0,0
GSM5519494,P190910,IT,2693,1545,1623.7367248421835,2673.3448212146754,2663.251618420169,1.7076301362321535,1.6838886847543508,0.5773087436411072,0,0,0
GSM5519495,P190808,IT,5168,1526.5,1546.9912925696594,2605.665886104107,2570.7319610016134,1.6406447748030066,1.6814106735598378,0.5846117336009771,0,0,0
GSM5519483,Dhc570,NL,4243,1194,1206.9189252887109,2312.921074151993,2292.88603350917,1.9077204185081793,1.9051689127520244,0.5164599893893989,0,0,0
GSM5519484,D528848,NL,4733,1170,1193.2142404394676,2303.2357654571533,2295.455306926238,1.6649509772790954,1.6909102843434436,0.5070980970273703,0,0,0
GSM5519485,D529074,NL,5956,1192,1267.4701141705843,2277.241921186447,2245.2472239235994,1.7088020258186654,1.7568705020656286,0.5154915474250203,0,0,0
GSM5519486,D529351,NL,690,670.5,785.7434782608696,1718.3955217599869,1824.902872927638,2.325362620482487,2.300077560231815,0.3903376993293205,0,0,0
GSM5519487,D529354,NL,5233,849,944.2298872539652,1988.8051812648773,2068.824355852654,1.8244915302088371,1.8109905811337648,0.4271482817057954,0,0,0
GSM5519488,D529409,NL,3364,727.5,812.1358501783591,1787.6846761107442,1822.5809012963375,2.411194347425616,2.405285287067116,0.40296587736809053,0,0,0
