Cluster,Module_Label,Module_Top_Score,Module_Second_Score,Module_Score_Gap,Marker_Overlap_Label,Marker_Overlap_Count,SingleR_Label,SingleR_Delta
0,CD8_T,0.8811075944567536,0.24695266145391198,0.6341549330028415,CD8_T,2,T_cells,0.28059189897975256
1,CD8_T,1.2305835781681043,0.44165482947564605,0.7889287486924582,CD8_T,3,T_cells,0.31152846971951564
2,MAIT,0.7822745439050665,0.6718608383186763,0.11041370558639019,MAIT,5,T_cells,0.30881362353697217
3,CD4_T,0.7459267643150383,0.052248555447389336,0.693678208867649,CD4_T,3,T_cells,0.8892527981598743
4,NK,1.574245236927122,0.39997929540201804,1.174265941525104,NK,5,NK_cell,0.08446937221453577
5,NK,0.4813824180755869,0.3772115996244538,0.10417081845113313,Myeloid,2,NK_cell,0.10407571748873246
6,CD4_T,0.961493909490268,0.45785893656245075,0.5036349729278173,CD4_T,4,T_cells,0.7464552838217859
7,B_Cell,2.099844097983461,0.4947646032008426,1.6050794947826184,B_Cell,2,B_cell,0.11422135387222054
8,CD8_T,0.6570532198052622,0.5064246589827023,0.15062856082255993,CD4_T,1,T_cells,0.3141407722207772
9,Myeloid,2.36313343621152,2.3554209981938636,0.007712438017656531,Monocyte,4,Monocyte,0.07392696681532973
10,B_Cell,2.4645568625280836,0.6533121449869347,1.811244717541149,B_Cell,2,B_cell,0.16010070387178588
11,Plasma_Cell,2.280273152744606,0.4274786130025047,1.8527945397421013,Plasma_Cell,4,B_cell,0.0718163148748393
12,Myeloid,1.507716554684636,1.0423258077300157,0.46539074695462035,Macrophage,4,Monocyte,0.15584987787729565
13,Myeloid,1.9073519137378545,1.8015142112264018,0.10583770251145275,Unresolved,0,Monocyte,0.06605683174812726
14,NK,1.6477845447128043,0.48849647380331657,1.1592880709094877,NK,5,NK_cell,0.0638610188221359
15,Myeloid,0.6853822266781349,0.6307904394454287,0.05459178723270619,Myeloid,2,NK_cell,0.07532266580322833
16,pDC,1.7311482138415692,0.7806021590298909,0.9505460548116783,pDC,3,B_cell,0.0019964786532920276
17,NK,0.9172550289754684,0.3952857147083222,0.5219693142671462,GammaDelta_T,2,NK_cell,0.10550650867730504
