CellType.full,Donor,Cells
B_Cell,D528848,285
B_Cell,D529074,88
B_Cell,D529351,8
B_Cell,D529354,30
B_Cell,D529409,60
B_Cell,Dhc570,169
B_Cell,P190326,12
B_Cell,P190402,237
B_Cell,P190604,118
B_Cell,P190716,62
B_Cell,P190719,573
B_Cell,P190801,52
B_Cell,P190808,170
B_Cell,P190910,25
B_Cell,P190911,369
B_Cell,P191008,93
B_Cell,P191028,106
B_Cell,P191112,301
B_Cell,P191126,137
B_Cell,P191127,276
B_Cell,P191210,145
B_Cell,P191217,66
CD4_T,D528848,406
CD4_T,D529074,210
CD4_T,D529351,46
CD4_T,D529354,364
CD4_T,D529409,116
CD4_T,Dhc570,544
CD4_T,P190326,219
CD4_T,P190402,878
CD4_T,P190604,540
CD4_T,P190716,358
CD4_T,P190719,522
CD4_T,P190801,983
CD4_T,P190808,1081
CD4_T,P190902,5
CD4_T,P190910,259
CD4_T,P190911,2490
CD4_T,P191008,2384
CD4_T,P191028,1395
CD4_T,P191112,886
CD4_T,P191126,639
CD4_T,P191127,751
CD4_T,P191210,734
CD4_T,P191217,515
CD8_T,D528848,1314
CD8_T,D529074,228
CD8_T,D529351,19
CD8_T,D529354,907
CD8_T,D529409,794
CD8_T,Dhc570,371
CD8_T,P190326,188
CD8_T,P190402,1826
CD8_T,P190604,661
CD8_T,P190716,1459
CD8_T,P190719,52
CD8_T,P190801,2610
CD8_T,P190808,1760
CD8_T,P190902,16
CD8_T,P190910,752
CD8_T,P190911,4387
CD8_T,P191008,6288
CD8_T,P191028,4772
CD8_T,P191112,2454
CD8_T,P191126,1034
CD8_T,P191127,3083
CD8_T,P191210,1201
CD8_T,P191217,2118
GammaDelta_T,D529074,468
MAIT,D528848,681
MAIT,D529074,181
MAIT,D529351,106
MAIT,D529354,2676
MAIT,D529409,832
MAIT,Dhc570,952
MAIT,P190326,87
MAIT,P190402,1680
MAIT,P190604,699
MAIT,P190716,627
MAIT,P190801,591
MAIT,P190808,449
MAIT,P190902,26
MAIT,P190910,265
MAIT,P190911,647
MAIT,P191008,3
MAIT,P191028,420
MAIT,P191112,1042
MAIT,P191126,444
MAIT,P191127,838
MAIT,P191210,2
MAIT,P191217,541
Macrophage,D528848,16
Macrophage,D529074,5
Macrophage,D529351,16
Macrophage,D529354,30
Macrophage,D529409,8
Macrophage,Dhc570,7
Macrophage,P190326,18
Macrophage,P190402,339
Macrophage,P190604,117
Macrophage,P190716,22
Macrophage,P190719,11
Macrophage,P190801,11
Macrophage,P190808,37
Macrophage,P190902,9
Macrophage,P190910,107
