CellType.full,Phase,Cells
B_Cell,AC,558
B_Cell,AR,221
B_Cell,IA,1401
B_Cell,IT,562
B_Cell,NL,640
CD4_T,AC,2124
CD4_T,AR,3257
CD4_T,IA,6276
CD4_T,IT,2982
CD4_T,NL,1686
CD8_T,AC,5318
CD8_T,AR,9865
CD8_T,IA,14275
CD8_T,IT,5203
CD8_T,NL,3633
GammaDelta_T,NL,468
MAIT,AC,1284
MAIT,AR,1171
MAIT,IA,2700
MAIT,IT,3206
MAIT,NL,5428
Macrophage,AC,134
Macrophage,AR,89
Macrophage,IA,73
Macrophage,IT,627
Macrophage,NL,82
Monocyte,AC,52
Monocyte,AR,11
Monocyte,IA,1417
Monocyte,IT,18
Monocyte,NL,33
Myeloid,AC,581
Myeloid,AR,523
Myeloid,IA,147
Myeloid,IT,516
Myeloid,NL,291
NK,AC,1600
NK,AR,1695
NK,IA,2826
NK,IT,3477
NK,NL,4858
NK_like,AC,1017
NK_like,AR,520
NK_like,IA,2578
NK_like,IT,2601
NK_like,NL,2787
Plasma_Cell,AC,51
Plasma_Cell,AR,18
Plasma_Cell,IA,55
Plasma_Cell,IT,76
Plasma_Cell,NL,591
T_Cell,IT,2
T_Cell,NL,3274
pDC,AC,62
pDC,AR,39
pDC,IA,57
pDC,IT,94
pDC,NL,17
