GSM,Donor,Phase,Original_Cells,Sketch_Cells,Percent_Represented
GSM5519491,P190902,IT,65,6,9.23
GSM5519486,D529351,NL,689,102,14.8
GSM5519471,P190326,IT,1377,188,13.65
GSM5519475,P190716,AR,3458,458,13.24
GSM5519506,P191126,AC,3287,467,14.21
GSM5519469,P190604,IT,3083,503,16.32
GSM5519494,P190910,IT,2678,516,19.27
GSM5519512,P191217,AR,4113,566,13.76
GSM5519483,Dhc570,NL,4074,587,14.41
GSM5519495,P190808,IT,5152,671,13.02
GSM5519484,D528848,NL,4532,673,14.85
GSM5519488,D529409,NL,3360,726,21.61
GSM5519510,P191210,AC,2918,813,27.86
GSM5519508,P191127,AC,6576,898,13.66
GSM5519496,P190801,IA,6009,907,15.09
GSM5519502,P191112,IA,6014,961,15.98
GSM5519487,D529354,NL,5232,1065,20.36
GSM5519477,P190719,IA,2989,1188,39.75
GSM5519499,P191028,IA,7943,1287,16.2
GSM5519472,P190402,IT,7009,1322,18.86
GSM5519497,P190911,IA,8850,1574,17.79
GSM5519485,D529074,NL,5901,1650,27.96
GSM5519504,P191008,AR,9838,2872,29.19
