p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.4972327735506274,0.289,0.062,0,0,TNFRSF9
0,2.099195236596139,0.33,0.087,0,0,CRTAM
5.1155539254028955e-281,2.0418981161440986,0.277,0.077,9.68118580382498e-277,0,ENC1
0,1.9960002323809332,0.377,0.112,0,0,DUSP4
0,1.986823827887876,0.377,0.109,0,0,PDCD1
2.79802e-318,1.545647204445213,0.47,0.202,5.2952570314e-314,0,SRRT
0,1.5012716871826122,0.833,0.331,0,0,CD8A
9.081583720583392e-192,1.46950497063216,0.31,0.122,1.718689719120407e-187,0,OASL
8.466597274286734e-175,1.4408523209607926,0.306,0.127,1.6023035341587644e-170,0,ATP8A1
0,1.4367397088967089,0.649,0.286,0,0,RGS1
0,3.2758929980639455,0.258,0.028,0,1,AC004832.6
1.3951295464525113e-262,2.447570508298968,0.269,0.06,2.6402826666613775e-258,1,TRG-AS1
2.9493718226418223e-297,2.0117300767009563,0.4,0.119,5.581686174349649e-293,1,SIT1
0,1.9469246478820816,0.683,0.219,0,1,CD8B
9.11461656547257e-148,1.8247562461399909,0.258,0.087,1.7249411850156838e-143,1,PTGDR
3.182591195468312e-189,1.7209935935805618,0.352,0.13,6.02305383742378e-185,1,SIRPG
0,1.7184309393816801,0.551,0.206,0,1,LINC00861
0,1.7086446642214208,0.642,0.254,0,1,GIMAP4
3.9658709917155015e-174,1.6414529787988204,0.391,0.172,7.505410851821587e-170,1,PRMT9
4.20664328738017e-204,1.6098106023761685,0.404,0.158,7.961072421366972e-200,1,GIMAP1
0,4.4682791424671695,0.315,0.02,0,2,CCL20
0,3.9050757258036817,0.395,0.026,0,2,SLC4A10
0,3.517907836489953,0.529,0.043,0,2,TRAV1-2
0,3.474076075473013,0.315,0.034,0,2,IL4I1
0,3.0523687530504295,0.553,0.073,0,2,CCR6
0,2.6988863609196634,0.264,0.04,0,2,DPP4
4.4962892924650695e-270,2.5795385343360424,0.27,0.056,8.509227485990144e-266,2,GPR35
